cmenergies,reaction,observables,var_x,var_y,x_low,x_high,y
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.4,0.5,0.0187
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.5,0.6,0.02243
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.6,0.7,0.02569
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.7,0.8,0.02897
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.8,0.9,0.03162
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.9,1.0,0.03474
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.0,1.2,0.03808
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.2,1.4,0.04235
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.4,1.6,0.04671
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.6,1.8,0.05058
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.8,2.0,0.0537
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",2.0,2.4,0.05903
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",2.4,2.8,0.06404
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",2.8,3.2,0.06668
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",3.2,3.6,0.06857
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",3.6,4.0,0.06342
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",4.0,4.5,0.0588
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",4.5,5.0,0.05085
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",5.0,5.5,0.03913
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",5.5,6.0,0.03577
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",6.0,7.0,0.02937
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",7.0,8.0,0.02045
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",8.0,9.0,0.02344
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",9.0,10.0,0.03872
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",10.0,12.0,0.01858
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",12.0,14.0,0.02262
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",14.0,16.0,0.01621
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",16.0,20.0,0.04911
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.4,0.5,0.03128
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.5,0.6,0.03765
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.6,0.7,0.04316
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.7,0.8,0.04853
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.8,0.9,0.05358
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",0.9,1.0,0.05799
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.0,1.2,0.0643
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.2,1.4,0.07251
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.4,1.6,0.07989
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.6,1.8,0.08708
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",1.8,2.0,0.09446
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",2.0,2.4,0.1035
2760.0,PB PB --> CHARGED X,V,PT (GEV),"V2{EP,ABS(DELTA(ETA))>2.0}",2.4,2.8,0.1136
